"Name","URL","Path"
"Exp8.pdf","https://drive.google.com/file/d/1nKdnH9PI8u65Dd9lgRPuUK9H7uQmFC5V/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Exp8.pdf"
"EMI.pdf","https://drive.google.com/file/d/1GN_wjGrUa34ZtH9vGz_TdQo8F3pKlSNm/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/EMI.pdf"
"Error_assignment.pdf","https://drive.google.com/file/d/14xwi3qS_l7pnrHTPLK8iszKORJF5IjuV/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Error_assignment.pdf"
"COUPLED_PENDULUM.pdf","https://drive.google.com/file/d/1AkoDC78k3qYvhevrAVxqrXLiQuiFEq-P/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/COUPLED_PENDULUM.pdf"
"Diffraction_Grating.pdf","https://drive.google.com/file/d/1yQ3j5MKdEheEYS24vNr8mum9fzdkfqQG/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Readings/Diffraction_Grating.pdf"
"23-24_-_Phy_Lab_-_Compre_1_Set_B.pdf","https://drive.google.com/file/d/19v_esTdK_WsaoROD_sEb9Tkblsj1iTpf/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/23-24_-_Phy_Lab_-_Compre_1_Set_B.pdf"
"Physics_Lab_Compre_Questions.pdf","https://drive.google.com/file/d/1WoUaFw8l_KgTtbw2OcI53pc6WEwMNCDr/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/Physics_Lab_Compre_Questions.pdf"
"22-23_-_Phy_Lab_-_Compre_1_Set_A.pdf","https://drive.google.com/file/d/11x5EEOX3SFGX_YE3s9tYmhmZxi4f0Sh-/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/22-23_-_Phy_Lab_-_Compre_1_Set_A.pdf"
"22-23_-_Phy_Lab_-_Compre_1_Set_B.pdf","https://drive.google.com/file/d/1UWCd_R4lejXu1QItY0T03FHxsoQc_t_D/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/22-23_-_Phy_Lab_-_Compre_1_Set_B.pdf"
"21-22_-_Phy_Lab_-_Compre_1.pdf","https://drive.google.com/file/d/1ZizaJx1v78RqOfJMgZ6hmxDxBIJbzQX0/view?usp=drivesdk","studywise_drive/Physics Lab PHY F110/Compre Papers and Solutions/21-22_-_Phy_Lab_-_Compre_1.pdf"
